alpha,beta,gamma,qid,nDCG
1.0,0.95,0.05,6.0,0.9567153731408663
1.0,0.95,0.05,7.0,0.9656163540148323
1.0,0.95,0.05,8.0,0.6069575079106281
1.0,0.95,0.05,9.0,1.0
1.0,0.95,0.05,10.0,0.8581142911841203
1.0,0.95,0.05,11.0,0.733008146776198
1.0,0.95,0.05,12.0,0.824490601633739
1.0,0.95,0.05,13.0,0.7779836734602742
1.0,0.95,0.05,14.0,0.7652275992786526
1.0,0.95,0.05,15.0,0.824783733220138
1.0,0.95,0.05,16.0,0.776915371182564
1.0,0.95,0.05,17.0,0.76843830650277
1.0,0.95,0.05,18.0,0.908764617413666
1.0,0.95,0.05,19.0,0.8264630550980371
1.0,0.95,0.05,20.0,0.9702660488293179
1.0,0.95,0.05,21.0,0.859554312083192
1.0,0.95,0.05,22.0,0.9226078394566162
1.0,0.95,0.05,23.0,0.8630288296937937
1.0,0.95,0.05,24.0,0.9396915526664137
1.0,0.95,0.05,25.0,0.8694516889127187
1.0,0.95,0.05,26.0,0.8865584575544343
1.0,0.95,0.05,27.0,0.8978243157534669
1.0,0.95,0.05,28.0,0.9457044522549584
1.0,0.95,0.05,29.0,0.8923212183130084
1.0,0.95,0.05,30.0,0.9196292457627006
1.0,0.95,0.05,31.0,0.6750344989467532
1.0,0.95,0.05,32.0,0.9087125813305325
1.0,0.95,0.05,33.0,0.8528348069404497
1.0,0.95,0.05,34.0,0.9053467054574527
1.0,0.95,0.05,35.0,0.7678565698777119
1.0,0.95,0.05,36.0,0.9858945795407829
1.0,0.95,0.05,37.0,0.85479709697121
1.0,0.95,0.05,38.0,0.9553381695944999
1.0,0.95,0.05,39.0,0.9724634351501648
1.0,0.95,0.05,40.0,0.8833415578341829
1.0,1.0,0.0,1.0,0.8831086579434416
1.0,1.0,0.0,2.0,0.8307283534672457
1.0,1.0,0.0,3.0,0.7093263150165197
1.0,1.0,0.0,4.0,0.8865270896301954
1.0,1.0,0.0,5.0,0.7277061331341389
1.0,1.0,0.0,6.0,0.9540171898749213
1.0,1.0,0.0,7.0,0.9653731511578892
1.0,1.0,0.0,8.0,0.6069575079106281
1.0,1.0,0.0,9.0,1.0
1.0,1.0,0.0,10.0,0.8647651241997659
1.0,1.0,0.0,11.0,0.7329551910552231
1.0,1.0,0.0,12.0,0.8218163876233202
1.0,1.0,0.0,13.0,0.7779836734602742
1.0,1.0,0.0,14.0,0.7605366028126272
1.0,1.0,0.0,15.0,0.8008955056556571
1.0,1.0,0.0,16.0,0.7710772605910686
1.0,1.0,0.0,17.0,0.7665983876502154
1.0,1.0,0.0,18.0,0.8976432396422926
1.0,1.0,0.0,19.0,0.8228350350976291
1.0,1.0,0.0,20.0,0.969560693287888
1.0,1.0,0.0,21.0,0.850825271732359
1.0,1.0,0.0,22.0,0.9222208821820537
1.0,1.0,0.0,23.0,0.8591369365038738
1.0,1.0,0.0,24.0,0.9373579230281532
1.0,1.0,0.0,25.0,0.8677151335632625
1.0,1.0,0.0,26.0,0.8811147887779877
1.0,1.0,0.0,27.0,0.8959901501399503
1.0,1.0,0.0,28.0,0.9414286249861177
1.0,1.0,0.0,29.0,0.8912662203782601
1.0,1.0,0.0,30.0,0.9195306216330136
1.0,1.0,0.0,31.0,0.6750344989467532
1.0,1.0,0.0,32.0,0.9087125813305325
1.0,1.0,0.0,33.0,0.8452734990821033
1.0,1.0,0.0,34.0,0.9053467054574527
1.0,1.0,0.0,35.0,0.7660150363093947
1.0,1.0,0.0,36.0,0.9825439471331695
1.0,1.0,0.0,37.0,0.8490022348116187
1.0,1.0,0.0,38.0,0.9556062717163583
1.0,1.0,0.0,39.0,0.9718676931245154
1.0,1.0,0.0,40.0,0.8805714829419437
0.5,0.9,0.5,1.0,0.8936296380387323
0.5,0.9,0.5,2.0,0.8228814590766276
0.5,0.9,0.5,3.0,0.7358252242129418
0.5,0.9,0.5,4.0,0.8865270896301954
0.5,0.9,0.5,5.0,0.7197299068214661
0.5,0.9,0.5,6.0,0.9667624035065191
0.5,0.9,0.5,7.0,0.9679008252971228
0.5,0.9,0.5,8.0,0.6069575079106281
0.5,0.9,0.5,9.0,1.0
0.5,0.9,0.5,10.0,0.8536079609654691
0.5,0.9,0.5,11.0,0.7342245190825518
0.5,0.9,0.5,12.0,0.8465129909673481
0.5,0.9,0.5,13.0,0.7779836734602742
0.5,0.9,0.5,14.0,0.77433150977851
0.5,0.9,0.5,15.0,0.8962668638630557
0.5,0.9,0.5,16.0,0.7884046549043479
0.5,0.9,0.5,17.0,0.7858901096627908
0.5,0.9,0.5,18.0,0.9354186860979568
0.5,0.9,0.5,19.0,0.8288380493009101
0.5,0.9,0.5,20.0,0.9767388529637351
0.5,0.9,0.5,21.0,0.9149488271206507
0.5,0.9,0.5,22.0,0.934031691547008
0.5,0.9,0.5,23.0,0.9152428630696277
0.5,0.9,0.5,24.0,0.9584498564731325
0.5,0.9,0.5,25.0,0.8704641887911699
0.5,0.9,0.5,26.0,0.9283498818477511
0.5,0.9,0.5,27.0,0.8833820990134731
0.5,0.9,0.5,28.0,0.9821803428200228
0.5,0.9,0.5,29.0,0.9084887900044023
0.5,0.9,0.5,30.0,0.9333360290716691
0.5,0.9,0.5,31.0,0.6750344989467532
0.5,0.9,0.5,32.0,0.9087125813305325
0.5,0.9,0.5,33.0,0.9189727377868443
0.5,0.9,0.5,34.0,0.8402907863258624
0.5,0.9,0.5,35.0,0.809513106781048
0.5,0.9,0.5,36.0,0.9897832067782715
0.5,0.9,0.5,37.0,0.8428318737704891
0.5,0.9,0.5,38.0,0.95632610081632
0.5,0.9,0.5,39.0,0.9741473170462988
0.5,0.9,0.5,40.0,0.8719642787536507
